26412241,"shop=supermarket",-727607.576067369,2512333.63631789
26466687,"amenity=pub",-65737.144394621,3363447.42056986
26466690,"amenity=pub",-65480.6907087017,3364134.18568005
26466717,"amenity=pub",-61189.2883719679,3362555.34129586
26484067,"amenity=parking",-65748.3494233086,3359156.83818014
26488397,"amenity=cafe",-64758.6595641028,3364843.62027897
26607397,"amenity=restaurant",-63449.5236124868,3361023.47129964
26882571,"amenity=fuel",-64517.7142340408,3367488.92447102
26932786,"amenity=fuel",-60843.6688328821,3365846.16210334
27117771,"amenity=pub",-65638.2572549942,3363934.59573984
27181039,"amenity=cafe",-62686.3406153971,3362704.11640486
27181040,"amenity=cafe",-62773.2588839596,3363103.01586046
27246222,"amenity=restaurant",-62984.0964777985,3363947.50760504
27262495,"amenity=fastfood",-62678.9725143389,3362939.38664093
27262500,"amenity=fastfood",-62543.1297553628,3363095.07490381
27262504,"amenity=fastfood",-62620.7551165471,3363061.87760935
27262508,"amenity=fastfood",-65277.810562207,3364384.68852456
27262513,"amenity=fastfood",-66170.913779046,3365787.87254387
27262517,"amenity=restaurant",-61980.578202843,3363451.94953999
27446997,"amenity=busstation",-69565.5633025697,3364138.23749985
